title;company;location;description
TÉCNICO EN MICROINFORMÁTICA;por defecto;por defecto;Empresa necesita contratar técnico en informática o similar que cumplan lo siguiente: Soporte IT a los usuarios y a equipamiento de oficina (computadores, impresoras, teléfonos, etc.) Soporte de equipos de TELCO (switches, routers, etc.) Equipamiento de redes y comunicaciones, equipo de tipo industrial. Licencia de conducir Clase B, ya que se deberá asignar camioneta a cargo para movilizarse al interior de la central (2 centrales). Como la operación del cliente es del ámbito Industria, deberá realizarse exámenes médicos, exámenes de control alcohol y drogas, etc. Residencia en comuna de San Fernando VI región, o ciudades cercanas. Cobertura del servicio en residencia de cliente de L-V 8:00 a 18:30 horas
AUDITOR TI / BASE DE DATOS;por defecto;por defecto;¡Únete a TriiBu! Somos una empresa dedicada a brindar servicios tecnológicos y posicionamiento de profesionales, impactando positivamente en nuestros colaboradores y en la sociedad. Ofrecemos beneficios destacados y desarrollo profesional, garantizando un servicio de alta calidad a precios competitivos. Además, apoyamos la lucha contra el cáncer destinando un porcentaje de nuestras utilidades a esta causa. Estamos en búsqueda de un Auditor TI, especificamente de base de datos (requisito excluyente). Requisitos: Experiencia gestionando auditorias de bases de datos. Conocimientos en bases de datos: SQL, MongoDB, PostgreSQL y Oracle (excluyente). Capacidad de gestionar equipos y asegurar la entrega exitosa de proyectos. Bilingüe en Español e Inglés. / EXCLUYENTE Disponibilidad para trabajar presencial. Ofrecemos: Seguro de salud integral. Días libres adicionales para tu bienestar. Acceso a una plataforma que promueve hábitos saludables. Servicio de telemedicina. Seguro de vida que garantiza tu tranquilidad. Si eres un Auditor TI proactivo con experiencia en gestión de proyectos y bases de datos, ¡queremos conocerte!
DESARROLLADOR JUNIOR SQL EN AEROPUERTO DE SANTIAGO;por defecto;por defecto;Importante Compañía Mexicana para su cliente en Aeropuerto Internacional de Santiago requiere DESARROLLADORES SQL con las siguientes características: 1. Experiencia en empresas de servicios 2. Conocimientos en ORACLE 3. PL-SQL (Construcción de PCK, SP, Funciones y trigger), Oracle Forms, Postgre SQL 4. Conocimientos Desarrollo WEB con PHP (Deseable) -Requerimientos- Educación mínima: Instituto Profesional FUNCIONES: - Administración de Bases de Datos: Monitorear y mantener la integridad, rendimiento y seguridad de las bases de datos ORACLE y PostgreSQL. - Desarrollo de Procedimientos Almacenados: Diseñar y optimizar paquetes, procedimientos almacenados y funciones en PL/SQL, así como triggers para automatizar procesos en la base de datos. - Integración de Datos: Desarrollar y mantener procesos de integración de datos con sistemas externos, asegurando la precisión y consistencia de la información entre plataformas. - Carga y Migración de Datos: Realizar cargas de datos y migraciones en los sistemas, implementando procesos eficientes y confiables para garantizar la calidad de los datos. - Soporte Técnico: Proporcionar soporte técnico a los usuarios sobre el uso de las bases de datos y resolver incidencias relacionadas con la información. - Optimización de Consultas: Identificar y optimizar consultas SQL para mejorar el rendimiento de las bases de datos y garantizar tiempos de respuesta eficientes. - Documentación: Crear y mantener la documentación técnica relacionada con las bases de datos y procesos desarrollados, asegurando la claridad y accesibilidad de la información. -Requerimientos- Educación mínima: Instituto Profesional 2 años de experiencia mínimo Conocimientos: Oracle, SQL Server Inglés Técnico : Deseable Renta Líquida: $ 900.000 Horario: 44 horas semanales de Lunes a Viernes. Modalidad híbrida Transporte: Contamos con buses de acercamiento al Aeropuerto, desde metro Los Héroes. Lugar de trabajo: Aeropuerto de Santiago, Pudahuel
DESARROLLADOR FULL STACK (.NET / JAVASCRIPT);por defecto;por defecto;En Kabeli estamos en búsqueda de un Desarrollador Full Stack para colaborar con un cliente del sector Seguros, integrándose a su Célula de Contabilidad en modalidad Híbrida. Requisitos: Full Stack Developer con experiencia demostrada en diseño, desarrollo y despliegue de aplicaciones utilizando .NET Core, C#, SQL Server. -Power Automate, Power Apps, SharePoint. -Levantamiento de procesos. -Experiencia previa en sectores como banca, comisiones, aseguradoras, mutuarias, financieras. Funciones: -Analista Funcional especializado en el levantamiento de requerimientos, documentación de procesos, análisis de viabilidad de soluciones y verificación de funcionalidades del producto final. -Participación en todas las etapas de análisis y desarrollo de sistemas. -Automatización de Procesos: Capacidad para automatizar procesos empresariales mediante Power Automate, creando flujos de trabajo eficientes que conecten diferentes sistemas y aplicaciones. Beneficios: -2 días administrativos anuales. -Días feriados el 24 y 31 de diciembre. -Día libre en tu cumpleaños. -Bonos de Fiestas Patrias y Navidad. -Seguro complementario de salud, vida y dental. -Otros beneficios adicionales. ¡Únete a nuestro equipo y forma parte de un proyecto desafiante y con excelentes beneficios!
PRODUCT OWNER;por defecto;por defecto;¡En 3IT somos entusiastas de la tecnología! Si quieres trabajar en un lugar donde puedas ampliar tus conocimientos y donde la colaboración, el trabajo en equipo y la mejora continua sean una parte fundamental de su cultura organizacional, entonces esta oportunidad es para ti Somos una empresa de desarrollo de soluciones TI comprometida con la calidad de su servicio, donde cada especialista da lo mejor de sí para lograr el éxito de nuestros proyectos y clientes. Queremos que sepas que en 3IT valoramos la diversidad y creemos en lugares de trabajo inclusivos, por eso nos sumamos al desafío del cumplimiento de la Ley 21.015 brindando igualdad de oportunidades laborales y un proceso de reclutamiento flexible para todos y todas quienes quieran postular. ¿Cuál sería tu trabajo? * Es responsable de comprender y comunicar las necesidades del cliente al equipo de desarrollo, estableciendo objetivos claros y gestionando las expectativas. Su rol incluye definir y priorizar el backlog del producto, garantizando la creación de productos valiosos y maximizando su valor. Además, debe promover la innovación y la visibilidad del negocio, colaborando estrechamente con el equipo Scrum para asegurar entregas efectivas y alineadas con la visión del producto. Lo que harás: * Recopilar información del cliente para comprender sus requerimientos y necesidades. * Redactar y priorizar historias de usuario claras y comprensibles con apoyo técnico. * Planificar y coordinar el desarrollo de proyectos en conjunto con el equipo, estableciendo prioridades y tomando decisiones clave. * Facilitar la creación de la visión del producto y co-crear los OKRs. * Identificar y desarrollar el Mínimo Producto Viable (MVP) y definir el roadmap del producto. * Liderar la planificación de sprints y validar los incrementos de producto. * Definir el plan de Go to Market del producto. * Gestionar y priorizar el Product Backlog según cambios en el negocio o tecnología. * Colaborar activamente con los stakeholders y gestionar sus expectativas. Requisitos mínimos: * Manejo de plataformas de gestión como Jira * Conocimientos sólidos en metodologías y frameworks ágiles * Comunicación efectiva para colaborar con el equipo y stakeholders * Empatía y orientación al cliente, asegurando que las soluciones entreguen valor * Conocimiento funcional en desarrollo, diseño de experiencia y aspectos tecnológicos * Educación Superior en: Ingeniería en Informática o Industrial, Analista de Sistemas o Programador * Experiencia mínima de 2 a 3 años en equipos ágiles, trabajando en áreas de desarrollo o en cargos similares. (Este factor es de suma importancia para avanzar en el proceso) Deseables que suman puntos: * Disponibilidad para trabajar en modalidad híbrida y asistir de forma presencial a las oficinas de cliente ¿Qué beneficios encontrarás si te unes a 3IT? Capacitaciones Días administrativos Tarjeta Sodexo $80.000 Seguro de salud MetLife Bono anual de desempeño Aguinaldo en fiestas patrias y navidad Días adicionales al postnatal masculino Medio día libre por tu cumpleaños Código de vestimenta informal Dcto en seguro de mascotas Caja de Compensación Regalo por nacimiento Encuentros tritian@s ¡Y mucho más!
ASISTENTE DE INFORMÁTICA;por defecto;por defecto;Asistente de informática para reemplazo temporal de 2 meses RANCAGUA Nos encontramos en búsqueda de un(a) profesional o técnico del área de Informática, para un reemplazo por licencia médica. Gestionará procesos con clientes internos y apoyará en soporte técnico Requisitos: Disponibilidad Inmediata Estudios técnicos en informática Experiencia de al menos 1 año Funciones: - Atención y soporte a los usuarios internos - Administración y configuración de correos - Gestión de incidentes - Inventario de equipos - Mantenimiento de equipos a nivel de Hardware y Software. - Administra un sistema de tickets donde se realizan las solicitudes de soporte. (TICKET)
DESARROLLADOR SAP HCM PAYROLL;por defecto;por defecto;Importante empresa requiere contratar programador SAP HCM Payroll, deseable experiencia en TM. Debe tener experiencia comprobable mínima de 5 años trabajando con HCM Payroll. Inglés avanzado. Disponibilidad Inmediata.
TÉCNICO EN TELECOMUNICACIONES;por defecto;por defecto;Empresa de Telecomunicaciones, requiere incorporar a su equipo de trabajo, Técnicos de nivel medio, con los siguientes conocimientos: Tendido de cableado UTP y F.O Experiencia proyectos CCTV IP_ANALOGO Fusión y medición F.O Instalación de BPC, EMT y PVC Armado de Racks de comunicaciones Armado de Tableros eléctricos BT (No excluyente) Experiencia en centrales de alarma Bosh, DSC u otra. Instalaciones en general Se requiere persona con disposición para trabajar en terreno dentro y fuera de Santiago, capacidad de trabajo en equipo, conocimientos básicos de electricidad y flexibilidad horaria. Requisitos: - Carreras asociadas: Técnico en Conectividad y Redes, Telecomunicaciones, electrónica, electricidad. - Licencia de conducir clase B al día (Excluyente) - Licencia de conducir clase D al día (No excluyente) - Residencia zona Sur de Santiago (No excluyente) - Disponibilidad para viajar (Excluyente)
ANALISTA FUNCIONAL DESARROLLADOR FULLSTACK;por defecto;por defecto;Analista Funcional especialista en levantamiento de requerimientos, documentación de procesos, viabilidad de soluciones, comprobación de las funcionalidades del producto final. Participación en todas las etapas de análisis de requerimiento de sistemas y desarrollo. Developer Full Stack con Capacidad demostrada para diseñar, desarrollar y desplegar aplicaciones usando , .NET Core, C#, SQL/Server. Automatización de Procesos: Habilidad para automatizar procesos empresariales utilizando Power Automate, lo que implica la creación de flujos de trabajo eficientes que conecten diferentes sistemas, aplicaciones, proceso de archivos, etc. Experiencia en Integración de Aplicaciones. Responsable de desarrollar plataformas y/o componentes desde la fase de desarrollo hasta la implementación. Experiencia en desarrollos de Seguros de Vida
SUPERVISOR TÉCNICO TERRENO;por defecto;por defecto;Empresa de Telecomunicaciones, requiere incorporar a su staff de proyectos, Supervisor Técnico de terreno, con conocimiento y dominio comprobable en: Experiencia en proyectos de Cableado UTP y F.O Experiencia proyectos de seguridad Electrónica (CCTV, CCAA, Alarma, etc). Conocimiento Normas de cableado estructurado Conocimiento Norma Eléctrica Chilena vigente Tableros eléctricos BT (No excluyente) Instalaciones de montaje en general Uso de ofimática nivel medio (Excel, Word, Outlook) Lectura y comprensión de planos Se requiere persona con disposición para trabajar en terreno dentro y fuera de Santiago, capacidad de trabajo en equipo, conocimientos básicos de electricidad y flexibilidad horaria. Requisitos: - Carreras asociadas: Conectividad y Redes, Telecomunicaciones, electrónica, electricidad. - Licencia de conducir clase B al día (Excluyente) - Licencia de conducir clase D al día (No excluyente) - Residencia zona Sur de Santiago (No excluyente) - Disponibilidad para viajar (Excluyente)
