tecnologia,count
R,299
C,297
Go,209
SQL,61
Git,47
Java,37
Ágil,32
API,30
JavaScript,23
AWS,21
Scala,20
ML,17
Python,17
Angular,15
Azure,15
C#,14
TypeScript,14
Análisis de Datos,14
PostgreSQL,13
MySQL,13
MongoDB,12
Microservicios,12
CSS,12
HTML,12
ETL,10
Scrum,10
CI/CD,10
PHP,9
Docker,9
SOAP,8
Virtualización,8
React,7
JIRA,6
Node.js,6
GitHub,6
IoT,6
Big Data,5
GCP,5
Spring,5
Next,4
Vue,4
Redis,4
Elasticsearch,4
Bitbucket,4
Power Automate,3
Terraform,3
GraphQL,3
APIs RESTful,3
DevOps,3
Laravel,3
C++,2
RabbitMQ,2
Power Apps,2
Jenkins,2
NoSQL,2
Kubernetes,2
Firebase,2
DataOps,1
UX/UI,1
SRE,1
Tailwind CSS,1
Kanban,1
Grafana,1
Docker Swarm,1
InfluxDB,1
Express,1
5G,1
Sass,1
