tecnologia,count
SQL,178
JavaScript,91
Python,89
Java,85
AWS,81
C,79
Git,79
Azure,69
NET,66
CSS,50
MySQL,49
Angular,48
PostgreSQL,46
API,45
Scrum,44
JIRA,43
React,41
Microservicios,41
GCP,40
HTML,39
DevOps,39
CI,39
Docker,36
PHP,33
Node,32
MongoDB,29
SOAP,28
GitHub,25
Spring,24
ETL,24
IoT,21
UI,20
Kanban,19
Kubernetes,18
Bitbucket,18
Laravel,16
Jenkins,16
RESTful,16
UX,16
Terraform,14
Agile,13
Next,12
NoSQL,11
R,10
Redis,10
Vue,8
Cassandra,8
Scala,7
Firebase,7
GraphQL,6
RabbitMQ,6
Hadoop,6
Datalake,6
DevSecOps,6
SRE,6
Django,5
Express,5
Automate,5
Perl,4
Sass,4
Tailwind,4
Elasticsearch,4
Kafka,4
Spark,4
Apps,4
Go,3
Flask,3
Grafana,3
OpenShift,3
Kotlin,2
Swift,2
InfluxDB,2
DataOps,2
IaC,2
Blockchain,2
5G,2
Prometheus,1
Rust,0
MicrosoftTypeScript,0
Ruby,0
Elixir,0
MATLAB,0
gRPC,0
Nuxt,0
FastAPI,0
Ansible,0
Deep,0
TensorFlow,0
PyTorch,0
Scikit,0
Keras,0
NLP,0
ML,0
Memcached,0
GitOps,0
DatabaseWebSockets,0
Grafos,0
Neo4j,0
Flink,0
MLOps,0
Istio,0
Linkerd,0
